SN,Tray_SN,POD_Rack_Slot,FOX_Routing,Error_Code,GPU,Nvlink,Lane,NVL0_SN,NVL1_SN,PN,Diag,StartTestTime,EndTestTime,log_file_name
1650826069241,P3952-L1000000007776,FXHC-POD2-R10-T4L,NVLINK,E098001006_654,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325220902,20260326003548,FXHC_NA_900-2G548-0081-000_1650826069241_F_NVL_20260325T220910Z.log
1650826070176,P3952-L1000000006514,FXHC-POD3-R32-T8L,FLASHROM,0,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325234853,20260326000738,FXHC_NA_900-2G548-0081-000_1650826070176_F_FLA_20260325T234857Z.log
1651326012428,P3952-L1000000000124,FXHC-POD3-R20-T4L,FUNCTIONAL_TEST,E028001006_837,,,,1820126954258,1662425110300,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260326000030,20260326004632,FXHC_NA_900-2G548-0081-000_1651326012428_F_FCT_20260326T000039Z.log
1651326012782,P3952-R1000000000701,FXHC-POD4-R26-T5R,NVLINK,E098011006_009-001-1-000000000140,,,,1820126953294,1662525110351,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325233219,20260326001937,FXHC_NA_900-2G548-0081-000_1651326012782_F_NVL_20260325T233223Z.log
1651326012998,P3952-R1000000000791,FXHC-POD3-R49-T3R,FUNCTIONAL_TEST,E028163006_082-000-1-000000000140,,,,1824325954303,1334025090710,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325233431,20260326002412,FXHC_NA_900-2G548-0081-000_1651326012998_F_FCT_20260325T233435Z.log
1651326013000,P3952-L1000000005092,FXHC-POD3-R44-T1L,FC2,E097001037_814,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325215913,20260326004345,FXHC_NA_900-2G548-0081-000_1651326013000_F_FC2_20260325T215917Z.log
1651326013193,P3952-R1000000006958,FXHC-POD3-R22-T8R,FUNCTIONAL_TEST,E028001006_585,,,,1825125956605,1662925110603,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325232811,20260326004712,FXHC_NA_900-2G548-0081-000_1651326013193_F_FCT_20260325T232819Z.log
1651326013664,P3952-L1000000000791,FXHC-POD3-R49-T3L,FUNCTIONAL_TEST,E028163006_082-000-0-000000000006,,,,1824225951393,1334025090710,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325233037,20260326001707,FXHC_NA_900-2G548-0081-000_1651326013664_F_FCT_20260325T233042Z.log
1651326013839,P3952-L1000000005058,FXHC-POD3-R12-T1L,FUNCTIONAL_TEST,E028163006_082-000-1-020000610139,,,,1820126953959,1662025111127,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325233206,20260326001933,FXHC_NA_900-2G548-0081-000_1651326013839_F_FCT_20260325T233214Z.log
1651326013866,P3952-L1000000000980,FXHC-POD3-R16-T5L,IOT,E033030006_051-000-0-000000000050,,,,1820126954266,1333725330081,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325233400,20260326002923,FXHC_NA_900-2G548-0081-000_1651326013866_F_IOT_20260325T233409Z.log
1651326014082,P3952-R1000000006455,FXHC-POD2-R37-T4R,NVLINK,E098011006_009-001-1-000000000140,,,,1824225951411,1662025110143,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325231654,20260326000303,FXHC_NA_900-2G548-0081-000_1651326014082_F_NVL_20260325T231703Z.log
1651326014110,K4135-R1000000000278,FXHC-POD4-R18-T4R,FLASHROM,0,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325235642,20260326001955,FXHC_NA_900-2G548-0081-000_1651326014110_F_FLA_20260325T235646Z.log
1651326014110,K4135-R1000000000278,FXHC-POD4-R18-T4R,FLASHROM,0,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260326002108,20260326004013,FXHC_NA_900-2G548-0081-000_1651326014110_F_FLA_20260326T002112Z.log
1651326014111,K4135-L1000000000427,FXHC-POD4-R17-T6L,AST,E023001006_508,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325161931,20260325162933,FXHC_NA_900-2G548-0081-000_1651326014111_F_AST_20260325T161954Z.log
1651326014418,P3952-R1000000000917,FXHC-POD2-R10-T6R,IOT,E033030006_000-000-1-000000000244,,,,1825125955614,1334025090022,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325235347,20260326002710,FXHC_NA_900-2G548-0081-000_1651326014418_F_IOT_20260325T235356Z.log
1651326014468,P3952-L1000000006928,FXHC-POD3-R01-T9L,FPF,E083008006_704,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260326003405,20260326004939,FXHC_NA_900-2G548-0081-000_1651326014468_F_FPF_20260326T003414Z.log
1651326014481,P3952-R1000000000962,FXHC-POD3-R40-T7R,FLASHROM,0,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325234337,20260326000800,FXHC_NA_900-2G548-0081-000_1651326014481_F_FLA_20260325T234342Z.log
1651326014565,K4135-L1000000000147,FXHC-POD4-R40-T15L,FLASHROM,0,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325234605,20260326000759,FXHC_NA_900-2G548-0081-000_1651326014565_F_FLA_20260325T234629Z.log
1651326014684,P3952-L1000000005964,FXHC-POD4-R31-T8L,FUNCTIONAL_TEST,E028001006_585,,,,1820126952282,1333725330461,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325232908,20260326000838,FXHC_NA_900-2G548-0081-000_1651326014684_F_FCT_20260325T232913Z.log
1651326014709,P3952-L1000000005929,FXHC-POD4-R09-T3L,FUNCTIONAL_TEST,E028163006_082-000-1-000000000140,,,,1823325958803,1333725330424,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325235207,20260326003900,FXHC_NA_900-2G548-0081-000_1651326014709_F_FCT_20260325T235212Z.log
1651326014859,P3952-R1000000006971,FXHC-POD3-R29-T3R,FUNCTIONAL_TEST,E028163006_082-000-0-000000000006,,,,1823525957338,1943325110857,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325234249,20260326003311,FXHC_NA_900-2G548-0081-000_1651326014859_F_FCT_20260325T234258Z.log
1651326014902,P3952-R1000000007551,FXHC-POD3-R22-T2R,FUNCTIONAL_TEST,E028163006_082-000-1-020000610139,,,,1823825957264,1662825110282,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325234222,20260326003202,FXHC_NA_900-2G548-0081-000_1651326014902_F_FCT_20260325T234231Z.log
1651326021501,P3952-R1000000000124,FXHC-POD3-R20-T4R,FLASHROM,0,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325234403,20260326001025,FXHC_NA_900-2G548-0081-000_1651326021501_F_FLA_20260325T234412Z.log
1651326021589,P3952-L1000000005715,FXHC-POD3-R44-T2L,FLASHROM,0,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260326000036,20260326003358,FXHC_NA_900-2G548-0081-000_1651326021589_F_FLA_20260326T000041Z.log
1651326021597,K4135-R1000000000205,FXHC-POD4-R12-T8R,AST,E023002037_637,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260326002107,20260326002739,FXHC_NA_900-2G548-0081-000_1651326021597_F_AST_20260326T002130Z.log
1651326021597,K4135-R1000000000205,FXHC-POD4-R12-T8R,AST,E023002037_637,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260326002910,20260326003545,FXHC_NA_900-2G548-0081-000_1651326021597_F_AST_20260326T002933Z.log
1651326021642,P3952-L1000000007512,FXHC-POD3-R12-T4L,FUNCTIONAL_TEST,E028001006_838,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325222846,20260326005934,FXHC_NA_900-2G548-0081-000_1651326021642_F_FCT_20260325T222855Z.log
1651326021773,P3952-R1000000005934,FXHC-POD3-R22-T3R,AST,E023001006_508,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260326001556,20260326002409,FXHC_NA_900-2G548-0081-000_1651326021773_F_AST_20260326T001604Z.log
1651326022356,P3952-L1000000005310,FXHC-POD2-R32-T9L,NVLINK,E098001037_899,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325215400,20260326001854,FXHC_NA_900-2G548-0081-000_1651326022356_F_NVL_20260325T215409Z.log
1651326022368,P3952-R1000000007410,FXHC-POD4-R24-T7R,FUNCTIONAL_TEST,E028163014_583,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325234212,20260326000413,FXHC_NA_900-2G548-0081-000_1651326022368_F_FCT_20260325T234217Z.log
1651326022399,P3952-L1000000007410,FXHC-POD4-R24-T7L,FUNCTIONAL_TEST,E028163037_577,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325234452,20260326000057,FXHC_NA_900-2G548-0081-000_1651326022399_F_FCT_20260325T234457Z.log
1651326022681,K4135-R1000000000147,FXHC-POD4-R40-T15R,FUNCTIONAL_TEST,E028163006_082-000-1-020000624139,,,,1820126958003,1940326110595,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325235433,20260326004833,FXHC_NA_900-2G548-0081-000_1651326022681_F_FCT_20260325T235456Z.log
1651326022817,P3952-R1000000005618,FXHC-POD4-R27-T4R,NVLINK,E098011006_009-001-1-000000000140,,,,1820126952259,1662025110539,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325231845,20260326001138,FXHC_NA_900-2G548-0081-000_1651326022817_F_NVL_20260325T231850Z.log
1651326022952,P3952-R1000000005143,FXHC-POD3-R08-T10R,IOT,E033030006_051-000-0-000000000050,,,,1820126954858,1662025110325,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325235413,20260326005550,FXHC_NA_900-2G548-0081-000_1651326022952_F_IOT_20260325T235422Z.log
1651326023118,P3952-R1000000000308,FXHC-POD2-R09-T9R,FLASHROM,0,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325232637,20260326000042,FXHC_NA_900-2G548-0081-000_1651326023118_F_FLA_20260325T232646Z.log
1651326023201,K4135-R1000000000289,FXHC-POD4-R15-T13R,FUNCTIONAL_TEST,E028163006_082-000-1-000000000140,,,,1820126959547,1940326110860,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325235523,20260326004702,FXHC_NA_900-2G548-0081-000_1651326023201_F_FCT_20260325T235546Z.log
1651326023250,P3952-L1000000005909,FXHC-POD2-R36-T8L,FUNCTIONAL_TEST,E028001014_761,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260326001409,20260326003618,FXHC_NA_900-2G548-0081-000_1651326023250_F_FCT_20260326T001417Z.log
1651326023281,P3952-L1000000000649,FXHC-POD2-R11-T1L,FUNCTIONAL_TEST,E028001006_654,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325221745,20260326004455,FXHC_NA_900-2G548-0081-000_1651326023281_F_FCT_20260325T221754Z.log
1651326023423,K4135-L1000000000382,FXHC-POD4-R13-T8L,NVLINK,E098011006_009-001-1-000000000140,,,,1820126950156,1940326110262,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325233038,20260326002720,FXHC_NA_900-2G548-0081-000_1651326023423_F_NVL_20260325T233100Z.log
1651326023644,P3952-L1000000005209,FXHC-POD3-R34-T6L,IOT,E033030006_051-000-0-000000000050,,,,1824125956967,1662025110402,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325230756,20260326000641,FXHC_NA_900-2G548-0081-000_1651326023644_F_IOT_20260325T230801Z.log
1651326023694,P3952-R1000000006569,FXHC-POD2-R35-T1R,IOT,E033030006_051-000-0-000000000050,,,,1823525957985,1334025090686,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325234327,20260326004436,FXHC_NA_900-2G548-0081-000_1651326023694_F_IOT_20260325T234335Z.log
1651326023723,P3952-L1000000006094,FXHC-POD2-R14-T8L,FPF,E083008006_585,,,,1824325954521,1662125110513,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325235736,20260326002415,FXHC_NA_900-2G548-0081-000_1651326023723_F_FPF_20260325T235745Z.log
1651326023912,P3952-L1000000007655,FXHC-POD3-R47-T2L,FUNCTIONAL_TEST,E028001006_585,,,,1823525955510,1662925110811,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325220646,20260326000607,FXHC_NA_900-2G548-0081-000_1651326023912_F_FCT_20260325T220650Z.log
1651326023957,P3952-R1000000006342,FXHC-POD3-R40-T1R,FLASHROM,0,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325232643,20260326000040,FXHC_NA_900-2G548-0081-000_1651326023957_F_FLA_20260325T232648Z.log
1651326023957,P3952-R1000000006342,FXHC-POD3-R40-T1R,FLASHROM,0,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260326000133,20260326003023,FXHC_NA_900-2G548-0081-000_1651326023957_F_FLA_20260326T000138Z.log
1651326024181,P3952-L1000000000064,FXHC-POD4-R33-T8L,FUNCTIONAL_TEST,E028163006_082-000-1-020000610139,,,,1820126952201,1333725330378,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260325233119,20260326002104,FXHC_NA_900-2G548-0081-000_1651326024181_F_FCT_20260325T233124Z.log
1651026063989,P3952-L1000000006032,FXHC-POD3-R49-T7L,FUNCTIONAL_TEST,E028163006_077-000-1-000000000001,,,,1823525957734,1662025110888,900-2G548-0081-001,618-2G548-0311-CMF-51684,20260325225947,20260326001835,FXHC_NA_900-2G548-0081-001_1651026063989_F_FCT_20260325T225953Z.log
1651026064506,P3952-L1000000006001,FXHC-POD3-R35-T9L,FUNCTIONAL_TEST,E028163006_082-000-1-020000281097,,,,1825125956198,1662025110433,900-2G548-0081-001,618-2G548-0311-CMF-51684,20260325235214,20260326004511,FXHC_NA_900-2G548-0081-001_1651026064506_F_FCT_20260325T235219Z.log
1651226000021,P3952-L1000000005011,FXHC-POD4-R31-T1L,FUNCTIONAL_TEST,E028001006_585,,,,1820126951759,1662025110052,900-2G548-0081-001,618-2G548-0311-CMF-51684,20260325234718,20260326004112,FXHC_NA_900-2G548-0081-001_1651226000021_F_FCT_20260325T234723Z.log
1651226000263,P3952-R1000000005553,FXHC-POD3-R42-T7R,FUNCTIONAL_TEST,E028163006_029-054-0-000000000011,,,,1823525956193,1333625150023,900-2G548-0081-001,618-2G548-0311-CMF-51684,20260325231719,20260326004109,FXHC_NA_900-2G548-0081-001_1651226000263_F_FCT_20260325T231724Z.log
1651226007555,P3952-L1000000007800,FXHC-POD4-R26-T2L,FUNCTIONAL_TEST,E028163006_082-000-1-000000000140,,,,1820126952250,1662825110023,900-2G548-0081-001,618-2G548-0311-CMF-51684,20260326000241,20260326005531,FXHC_NA_900-2G548-0081-001_1651226007555_F_FCT_20260326T000246Z.log
1651226061629,P3952-R1000000007420,FXHC-POD3-R35-T3R,FUNCTIONAL_TEST,E028172006_576,,,,1823325958422,1662025110275,900-2G548-0081-001,618-2G548-0311-CMF-51684,20260325204024,20260326003958,FXHC_NA_900-2G548-0081-001_1651226061629_F_FCT_20260325T204029Z.log
1651226062323,P3952-R1000000006147,FXHC-POD2-R06-T9R,FUNCTIONAL_TEST,E028163006_082-000-1-020000610139,,,,1823825958073,1662125110262,900-2G548-0081-001,618-2G548-0311-CMF-51684,20260325235009,20260326004339,FXHC_NA_900-2G548-0081-001_1651226062323_F_FCT_20260325T235017Z.log
1651226062451,P3952-R1000000007636,FXHC-POD2-R30-T6R,FUNCTIONAL_TEST,E028163006_082-000-1-000000000140,,,,1823825956077,1662525110313,900-2G548-0081-001,618-2G548-0311-CMF-51684,20260325234317,20260326004249,FXHC_NA_900-2G548-0081-001_1651226062451_F_FCT_20260325T234326Z.log
1651226063058,P3952-L1000000007364,FXHC-POD3-R20-T2L,FUNCTIONAL_TEST,E028001037_899,,,,,,900-2G548-0081-001,618-2G548-0311-CMF-51684,20260325220542,20260326002634,FXHC_NA_900-2G548-0081-001_1651226063058_F_FCT_20260325T220550Z.log
